,User Requirement,Naive estimate,Dijkstra estimate,A* estimate,BOCS estimate,Naive success,Dijkstra success,A* success,BOCS success,Constraint List,Naive control List,Dijkstra control list,A star control list,BOCS control list,ConstraintNodesGroup,Naive path,Dijkstra path,A* path,BOCS path,Naive path length,Dijkstra path length,A* path length,BOCS path length,Naive runtime,Dijkstra runtime,A* runtime,BOCS runtime
lrb1|benchmark1_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,"[[1, 'v4'], [2, 'v1', 'v9'], [2, 'v9', 'v13'], [1, 'v14']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","[['v4', 'c6', 'v7'], ['v1', 'c1'], ['v9', 'c7', 'v10', 'v13'], ['v14', 'c8']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",12,12,12,12,2.55107879638672E-05,3.95774841308594E-05,0.000115871429443,0.000986337661743
lrb1|benchmark2_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,"[[1, 'v7'], [1, 'v12'], [2, 'v6', 'v8'], [2, 'v10', 'v11']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","[['v7', 'c6', 'v4'], ['v12', 'c10'], ['v6', 'c4', 'v8'], ['v10', 'c7', 'v9', 'v13'], ['v11', 'c9']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",12,12,12,12,2.33650207519531E-05,3.60012054443359E-05,0.00011420249939,0.000989675521851
lrb1|benchmark3_1,"['f1', 'f4']",1,1,1,0,0,0,0,2,"[[1, 'v9'], [2, 'v7', 'v4'], [1, 'v5'], [1, 'v2']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],"[['v9', 'c7', 'v10', 'v13'], ['v7', 'c6', 'v4'], ['v5', 'c5'], ['v2', 'c2']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",[],12,12,12,-1,2.33650207519531E-05,3.62396240234375E-05,0.000125646591187,0.000233888626099
lrb1|benchmark4_1,"['f1', 'f4']",1,1,1,1,0,0,0,1,"[[1, 'v4'], [2, 'v2', 'v1'], [2, 'v3', 'v7']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v5', 'v6', 'c1', 'c5', 'c4', 'v8']","[['v4', 'c6', 'v7'], ['v2', 'c2'], ['v1', 'c1'], ['v3', 'c3']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo6', 'fo7', 'fo12', 'fo16', 'f4']",12,12,12,14,2.26497650146484E-05,3.55243682861328E-05,0.0001060962677,0.00311803817749
lrb1|benchmark5_1,"['f1', 'f4']",1,1,1,0,0,0,0,2,"[[1, 'v1'], [2, 'v13', 'v9'], [1, 'v4']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],"[['v1', 'c1'], ['v13', 'c7', 'v9', 'v10'], ['v4', 'c6', 'v7']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",[],12,12,12,-1,2.21729278564453E-05,3.52859497070312E-05,0.000106811523438,0.000201940536499
,,,,,,,,,,,,,,,,,,,,,,,,,,,
false positive,3,3,3,0,,,,,,,,,,,,,,,,,,,,,,,
true positive,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,
false negative,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
true negative,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
max time,0.00311804,,,,,,,,,,,,,,,,,,,,,,,,,,
avg time,0.00110598,,,,,,,,,,,,,,,,,,,,,,,,,,
median time,0.00098634,,,,,,,,,,,,,,,,,,,,,,,,,,
