v1 f23 f48
v2 fo22 f62
v3 f56 f28
v4 f13 f5
v5 f52 fo10
v6 fo15 f5
v7 f49 fo9
v8 f27 f17
v9 f20 fo11
v10 f20 fo11
v11 fo15 f5
v12 f37 f57
v13 f22 fo3
v14 fo20 fo5
v15 fo8 f41
v16 f9 f57
v17 f8 f26
v18 fo11 fo17
v19 f59 f4
v20 fo6 f40
v21 fo12 fo5
v22 fo1 f24
v23 fo10 f16
v24 fo12 f60
v25 f53 f16
v26 f65 f17
v27 f58 fo5
v28 fo16 f38
v29 fo7 fo22
v30 f36 fo9
v31 f20 fo11
v32 fo14 f23
v33 f52 fo10
v34 f60 f56
v35 fo20 fo5
v36 f65 f17
v37 f31 f6
v38 f27 f24
v39 fo11 f64
v40 fo8 f41
v41 f25 f8
v42 f30 fo9
v43 fo10 f16
v44 f64 fo20
v45 fo16 f38
v46 f2 f11
v47 f2 f50
v48 f59 f4
v49 f31 f6
v50 fo20 fo5
v51 f19 fo12
v52 f9 f57
v53 f62 f36
v54 f45 fo2
v55 f24 fo4
v56 fo14 f4
v57 fo8 fo20
v58 fo14 f23
v59 f62 f36
v60 f53 f16
v61 f37 f57
v62 fo11 f64
v63 f41 fo20
v64 fo17 f56
v65 f14 fo11
v66 fo15 f5
v67 fo13 f45
co1 f8 f26
co2 f50 fo14
co3 f65 f17
co4 f50 fo14
co5 f22 fo3
co6 fo12 fo13
co7 f41 fo20
co8 f44 f9
co9 f9 f57
