v1 fo43 f6
v2 fo47 f53
v3 f29 fo29
v4 f70 fo4
v5 fo28 fo18
v6 f43 fo23
v7 fo1 fo24
v8 f12 f4
v9 f11 f51
v10 f16 f3
v11 f48 f24
v12 f64 fo25
v13 f57 fo35
v14 f25 f48
v15 f70 fo4
v16 fo15 f25
v17 f50 f61
v18 fo18 f28
v19 fo25 f73
v20 f34 fo36
v21 fo19 fo48
v22 fo35 f55
v23 f75 f22
v24 fo15 f25
v25 f77 fo43
v26 f18 f35
v27 fo35 f55
v28 fo11 fo16
v29 f20 f68
v30 fo14 f28
v31 fo45 f71
v32 f67 fo46
v33 fo41 fo34
v34 f31 f71
v35 f52 fo42
v36 f13 f47
v37 fo16 f5
v38 f44 f21
v39 f31 fo29
v40 f73 fo7
v41 fo45 fo43
v42 fo10 f63
v43 f69 f10
co1 f72 fo4
