v1 fo46 fo29
v2 f8 fo33
v3 fo18 f66
v4 f45 f18
v5 fo36 fo5
v6 f75 fo25
v7 fo45 f20
v8 f36 fo40
v9 f8 fo33
v10 f17 fo4
v11 f58 fo10
v12 fo26 fo30
v13 f72 f42
v14 f73 f77
v15 fo32 fo8
v16 fo21 f22
v17 f32 f38
v18 f52 fo28
v19 f47 fo7
v20 f56 f41
v21 f51 fo40
v22 f50 fo44
v23 f30 f55
v24 f50 fo14
v25 fo20 fo32
v26 fo48 f63
v27 fo4 fo47
v28 f77 fo15
v29 fo29 fo4
v30 f49 f23
v31 fo4 fo47
v32 fo30 f16
v33 f17 fo4
v34 fo13 fo20
v35 f23 fo8
v36 fo1 f20
v37 f71 fo39
v38 fo34 f63
v39 f61 fo35
v40 fo43 fo20
v41 f10 fo21
v42 fo21 f22
v43 fo44 fo5
co1 f1 fo28
