v1 f15 f50
v2 fo11 f78
v3 fo15 fo5
v4 f23 fo39
v5 f43 fo16
v6 f62 fo10
v7 f52 fo28
v8 f71 fo15
v9 f3 f19
v10 f3 f19
v11 f45 fo22
v12 f21 fo17
v13 fo21 fo10
v14 fo9 f16
v15 f75 f22
v16 f24 f28
v17 fo40 fo39
v18 f9 fo29
v19 fo21 fo10
v20 fo12 f63
v21 fo18 fo41
v22 f27 fo7
v23 f21 fo17
v24 f61 fo21
v25 fo7 fo21
v26 f67 fo22
v27 f62 fo10
v28 f54 f22
v29 fo38 fo10
v30 f40 f53
v31 fo14 fo35
v32 f58 f52
v33 f10 f47
v34 f31 fo34
v35 f6 fo35
v36 f2 fo5
v37 f73 f27
v38 f75 f10
v39 f69 fo39
v40 fo16 fo23
v41 f65 f23
v42 fo13 f15
v43 fo41 fo20
v44 f13 fo19
v45 f40 f53
v46 f68 fo40
v47 fo26 fo22
v48 f79 f45
v49 f76 f63
v50 fo7 fo21
v51 fo26 fo22
v52 fo25 fo2
co1 f73 f23
co2 fo41 fo20
co3 f34 fo19
co4 f11 f41
co5 f74 f42
co6 f10 f47
co7 fo24 fo12
co8 f48 f23
co9 f39 f47
co10 f58 f52
co11 f29 fo13
co12 f76 f63
co13 f62 fo10
co14 fo29 f22
co15 f63 f70
co16 f36 fo13
co17 fo26 fo22
co18 fo11 f78
co19 fo20 f23
co20 f76 f63
co21 f60 fo31
co22 fo20 fo2
co23 f25 f70
co24 f42 fo2
co25 fo26 fo22
co26 f12 fo5
co27 f49 f35
co28 f52 fo28
co29 f22 fo18
co30 fo23 f59
co31 f74 f42
co32 f4 f17
co33 f64 f59
