v1 fo19 fo17
v2 f44 fo9
v3 fo2 f26
v4 f62 fo33
v5 f20 f9
v6 f28 fo22
v7 f71 f57
v8 f34 fo35
v9 f34 f55
v10 f38 fo19
v11 fo17 fo28
v12 f18 fo20
v13 f3 f58
v14 f68 f9
v15 fo17 fo28
v16 fo37 f76
v17 f64 fo31
v18 f31 fo8
v19 f77 f11
v20 f55 fo19
v21 fo14 fo20
v22 fo30 fo27
v23 f13 fo6
v24 f34 fo35
v25 fo11 fo33
v26 f60 fo26
v27 fo5 fo33
v28 f17 f57
v29 f62 f7
v30 fo23 fo6
v31 fo12 f10
v32 f17 f57
v33 f44 f75
v34 f78 fo15
v35 fo12 fo24
v36 fo29 f47
v37 f15 f64
v38 f9 fo6
v39 fo15 f19
v40 fo12 f10
v41 f14 f66
v42 fo38 fo16
v43 fo18 f75
v44 f17 f8
v45 fo32 f68
v46 fo22 fo18
v47 fo14 fo20
v48 f31 fo8
v49 f73 f26
v50 fo12 fo24
v51 f20 fo1
v52 f38 f8
co1 fo40 f37
co2 fo37 f76
co3 f17 f8
co4 f4 fo33
co5 f18 fo20
co6 fo12 fo24
co7 f71 fo39
co8 fo17 fo28
co9 f64 fo31
co10 f37 fo28
co11 f45 f39
co12 fo25 f13
co13 f27 fo14
co14 f35 f27
co15 f72 fo35
co16 fo37 f76
co17 f74 f18
co18 fo36 f64
co19 fo9 f39
co20 f1 fo23
co21 f1 fo23
co22 fo35 fo33
co23 f21 f56
co24 fo32 f68
co25 f45 fo41
co26 fo37 f76
co27 fo12 fo24
co28 f29 fo27
co29 fo41 fo30
co30 fo12 fo24
co31 f36 f60
co32 fo20 f12
co33 f38 f8
