v1 f70 f21
v2 fo39 fo15
v3 f12 fo10
v4 fo27 f26
v5 f15 f32
v6 fo27 fo18
v7 fo8 f52
v8 f24 f78
v9 fo36 fo20
v10 f77 fo2
v11 fo10 f60
v12 f23 fo35
v13 f39 fo39
v14 f11 fo40
v15 f79 fo18
v16 f35 fo12
v17 f3 fo33
v18 fo10 f60
v19 f57 fo18
v20 f12 fo10
v21 fo36 fo20
v22 fo40 fo20
v23 f73 fo31
v24 fo10 f39
v25 fo36 fo20
v26 fo10 f39
v27 fo40 fo20
v28 fo21 fo12
v29 f35 f25
v30 fo8 f52
v31 fo38 f1
v32 f42 f57
v33 f42 f44
v34 fo39 fo22
v35 f42 f57
v36 fo22 f27
v37 f65 fo6
v38 f35 fo12
v39 f65 fo6
v40 f64 fo36
v41 f7 fo41
v42 f42 f57
v43 fo4 f63
v44 f34 f20
v45 fo14 f27
v46 f9 f6
v47 f27 f10
v48 f51 fo26
v49 fo7 fo5
v50 f3 fo33
v51 fo12 f6
v52 f24 f78
co1 fo8 f52
co2 fo22 f27
co3 fo10 f60
co4 fo33 fo36
co5 f71 f22
co6 f16 fo4
co7 f58 f30
co8 f46 f4
co9 fo3 f43
co10 f23 fo35
co11 f16 fo4
co12 f74 fo18
co13 fo36 fo20
co14 fo10 f60
co15 fo8 f52
co16 f72 f38
co17 f62 f67
co18 f49 fo27
co19 f51 fo10
co20 f42 fo12
co21 f63 fo1
co22 f38 fo28
co23 f38 fo28
co24 fo29 f47
co25 f35 fo12
co26 fo37 f20
co27 fo10 f39
co28 f53 f59
co29 fo29 f47
co30 f15 f32
co31 f51 fo26
co32 fo6 f56
co33 fo1 fo18
